iter	Passed	Remaining
403	8482	12514
404	8505	12495
405	8527	12476
406	8547	12453
407	8566	12430
408	8591	12414
409	8610	12391
410	8630	12368
411	8649	12345
412	8670	12323
413	8690	12300
414	8709	12277
415	8731	12257
416	8750	12234
417	8772	12214
418	8792	12192
419	8812	12169
420	8832	12147
421	8853	12126
422	8872	12103
423	8892	12081
424	8912	12057
425	8932	12035
426	8951	12012
427	8971	11989
428	8992	11969
429	9013	11947
430	9033	11925
431	9053	11903
432	9072	11880
433	9093	11859
434	9113	11836
435	9133	11814
436	9153	11792
437	9174	11772
438	9199	11755
439	9218	11732
440	9238	11710
441	9258	11688
442	9279	11667
443	9299	11644
444	9318	11622
445	9338	11600
446	9358	11577
447	9379	11557
448	9398	11533
449	9417	11510
450	9440	11491
451	9462	11471
452	9485	11453
453	9509	11436
454	9529	11414
455	9548	11391
456	9568	11368
457	9588	11347
458	9608	11324
459	9628	11302
460	9647	11279
461	9666	11256
462	9685	11233
463	9705	11211
464	9725	11189
465	9745	11168
466	9765	11145
467	9785	11124
468	9806	11103
469	9825	11079
470	9844	11056
471	9865	11036
472	9887	11016
473	9908	10995
474	9927	10973
475	9948	10951
476	9967	10929
477	9992	10912
478	10013	10891
479	10035	10871
480	10054	10849
481	10074	10826
482	10094	10804
483	10114	10783
484	10134	10761
485	10154	10739
486	10174	10718
487	10194	10695
488	10214	10674
489	10234	10652
490	10254	10629
491	10274	10608
492	10294	10586
493	10313	10564
494	10333	10542
495	10352	10519
496	10373	10498
497	10393	10477
498	10414	10455
499	10435	10435
500	10473	10431
501	10496	10412
502	10517	10391
503	10537	10370
504	10558	10348
505	10578	10327
506	10600	10307
507	10619	10285
508	10639	10262
509	10660	10242
510	10679	10220
511	10699	10197
512	10718	10175
513	10738	10153
514	10757	10131
515	10778	10109
516	10798	10088
517	10818	10067
518	10838	10044
519	10857	10022
520	10876	9999
521	10896	9978
522	10917	9956
523	10936	9934
524	10958	9915
525	10979	9893
526	10999	9872
527	11019	9851
528	11040	9829
529	11059	9807
530	11079	9785
531	11098	9763
532	11119	9742
533	11138	9720
534	11159	9699
535	11180	9678
536	11199	9656
537	11224	9638
538	11244	9617
539	11263	9594
540	11283	9572
541	11303	9551
542	11322	9528
543	11342	9507
544	11361	9484
545	11381	9463
546	11400	9441
547	11420	9419
548	11440	9398
549	11462	9378
550	11484	9358
551	11508	9340
552	11528	9319
553	11548	9297
554	11570	9277
555	11589	9255
556	11609	9233
557	11628	9211
558	11647	9188
559	11667	9167
560	11688	9146
561	11708	9124
562	11727	9103
563	11747	9081
564	11768	9060
565	11787	9038
566	11808	9017
567	11828	8995
568	11847	8974
569	11867	8952
570	11887	8931
571	11907	8909
572	11927	8888
573	11946	8866
574	11966	8844
575	11990	8826
576	12011	8805
577	12031	8784
578	12051	8763
579	12072	8741
580	12093	8721
581	12113	8699
582	12132	8678
583	12152	8656
584	12173	8635
585	12194	8615
586	12213	8593
587	12232	8571
588	12253	8550
589	12273	8528
590	12292	8507
591	12313	8486
592	12333	8464
593	12352	8443
594	12372	8421
595	12391	8399
596	12411	8378
597	12431	8356
598	12453	8336
599	12475	8316
600	12498	8297
601	12520	8277
602	12540	8256
603	12560	8235
604	12581	8214
605	12605	8195
606	12625	8174
607	12644	8152
608	12664	8131
609	12684	8109
610	12704	8088
611	12725	8068
612	12745	8046
613	12765	8025
614	12784	8003
615	12805	7982
616	12824	7961
617	12845	7939
618	12865	7918
619	12885	7897
620	12905	7876
621	12924	7854
622	12944	7832
623	12964	7812
624	12984	7790
625	13005	7770
626	13032	7753
627	13052	7731
628	13072	7710
629	13092	7689
630	13113	7668
631	13133	7647
632	13152	7625
633	13173	7604
634	13194	7584
635	13217	7564
636	13237	7543
637	13258	7522
638	13278	7501
639	13298	7480
640	13318	7458
641	13338	7438
642	13358	7417
643	13377	7395
644	13397	7374
645	13417	7352
646	13436	7330
647	13456	7309
648	13478	7289
649	13501	7269
650	13524	7250
651	13546	7230
652	13566	7209
653	13586	7188
654	13607	7167
655	13627	7145
656	13646	7124
657	13666	7103
658	13686	7082
659	13706	7061
660	13726	7039
661	13746	7018
662	13767	6997
663	13786	6976
664	13806	6955
665	13826	6933
666	13846	6912
667	13865	6891
668	13885	6870
669	13907	6849
670	13926	6828
671	13945	6806
672	13966	6786
673	13986	6764
674	14010	6745
675	14030	6724
676	14051	6703
677	14070	6682
678	14091	6661
679	14111	6640
680	14131	6619
681	14150	6598
682	14171	6577
683	14192	6556
684	14213	6536
685	14233	6515
686	14253	6493
687	14273	6473
688	14294	6452
689	14314	6431
690	14334	6409
691	14354	6388
692	14374	6368
693	14394	6346
694	14415	6326
695	14434	6304
696	14456	6284
697	14480	6265
698	14503	6245
699	14526	6225
700	14547	6205
701	14568	6184
702	14588	6163
703	14615	6144
704	14634	6123
705	14655	6102
706	14675	6081
707	14695	6061
708	14716	6040
709	14737	6019
710	14759	5999
711	14780	5978
712	14800	5957
713	14821	5936
714	14842	5916
715	14864	5895
716	14884	5874
717	14905	5854
718	14926	5833
719	14945	5812
720	14964	5790
721	14984	5769
722	15004	5748
723	15025	5727
724	15046	5707
725	15065	5686
726	15086	5665
727	15106	5644
728	15125	5622
729	15145	5601
730	15167	5581
731	15187	5560
732	15207	5539
733	15228	5518
734	15248	5497
735	15268	5476
736	15291	5456
737	15311	5435
738	15331	5414
739	15351	5393
740	15372	5373
741	15391	5351
742	15410	5330
743	15430	5309
744	15450	5288
745	15471	5267
746	15493	5247
747	15516	5227
748	15539	5207
749	15559	5186
750	15580	5165
751	15601	5145
752	15621	5124
753	15640	5102
754	15659	5081
755	15679	5060
756	15699	5039
757	15718	5018
758	15738	4997
759	15758	4976
760	15777	4955
761	15797	4934
762	15818	4913
763	15837	4892
764	15858	4871
765	15878	4850
766	15899	4829
767	15919	4809
768	15939	4787
769	15959	4767
770	15978	4745
771	16000	4725
772	16020	4704
773	16040	4683
774	16060	4662
775	16082	4642
776	16106	4622
777	16127	4602
778	16148	4581
779	16169	4560
780	16190	4539
781	16210	4518
782	16230	4497
783	16251	4477
784	16271	4456
785	16291	4435
786	16311	4414
787	16331	4393
788	16354	4373
