iter	Logloss
0	0.641444807
1	0.5881056116
2	0.5440403414
3	0.4979377108
4	0.4601081286
5	0.4240176067
6	0.3925107136
7	0.3640201249
8	0.3383437217
9	0.3147829991
10	0.2929938324
11	0.2714209392
12	0.2542043774
13	0.236335692
14	0.2223018313
15	0.2084707809
16	0.1950206529
17	0.183228653
18	0.1733239032
19	0.1639406217
20	0.1546267011
21	0.1453413102
22	0.1379845285
23	0.1294440047
24	0.1230631037
25	0.1177419923
26	0.1114205804
27	0.104899191
28	0.1005671737
29	0.09543702286
30	0.09115933802
31	0.08608904119
32	0.08146497512
33	0.07784440729
34	0.07475682157
35	0.07161687199
36	0.06879341025
37	0.06648563123
38	0.06417406873
39	0.06183708292
40	0.05966021356
41	0.05758587289
42	0.05560923073
43	0.05354619251
44	0.05191609963
45	0.05013333243
46	0.04865287459
47	0.04686583896
48	0.04502918107
49	0.04390318518
50	0.04267559688
51	0.04147636073
52	0.0402452314
53	0.03902298944
54	0.03804245379
55	0.03692660083
56	0.03586770664
57	0.03510146144
58	0.03466140766
59	0.03373625835
60	0.03294048946
61	0.03214366906
62	0.03133967059
63	0.03041328973
64	0.03001995819
65	0.02939642684
66	0.02884363903
67	0.02859142248
68	0.02834321989
69	0.0278551595
70	0.02717328177
71	0.02690232543
72	0.02640383164
73	0.02595082614
74	0.0253899408
75	0.0249974447
76	0.02476886776
77	0.02453457236
78	0.02413396913
79	0.02401818863
80	0.02359826944
81	0.02312822864
82	0.02294094117
83	0.02266946388
84	0.02207510332
85	0.02183437888
86	0.02171678825
87	0.02147024454
88	0.02131930352
89	0.02117372564
90	0.02108644374
91	0.02097864553
92	0.02085846216
93	0.02066713913
94	0.0203941254
95	0.01999768977
96	0.01969437092
97	0.01937390394
98	0.0193529027
99	0.01927074387
100	0.0191509266
101	0.01906934274
102	0.01897114009
103	0.01892545855
104	0.01878493053
105	0.01869285444
106	0.01857812184
107	0.01847729164
108	0.01839714338
109	0.01821357578
110	0.01814948575
111	0.01807281849
112	0.01802003691
113	0.01781072911
114	0.01743109951
115	0.01730343559
116	0.01697329263
117	0.01688011222
118	0.01685279116
119	0.01676728697
120	0.01658655098
121	0.01625372165
122	0.01615790048
123	0.01612223583
124	0.01605534298
125	0.01581527753
126	0.01571994251
127	0.01553233815
128	0.01548932978
129	0.01540723336
130	0.01534295247
131	0.01529148887
132	0.01506576394
133	0.01493154853
134	0.01490790053
135	0.01485063806
136	0.01468295343
137	0.01457958329
138	0.01428518421
139	0.0142354323
140	0.0141951127
141	0.01402191489
142	0.01397233583
143	0.01395113773
144	0.01385969783
145	0.01381008996
146	0.01380238974
147	0.0137653783
148	0.01347079196
149	0.01318437157
150	0.01304685162
151	0.01299913549
152	0.01296012787
153	0.01292585081
154	0.01270456596
155	0.01269931925
156	0.01262459176
